Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
Mei Jin Ramen,178,"Japanese, Asian","“Good ramen, no frills”",Cod,Yes,23,4,0.7,0.6000000000000001,Positive,0.7,Short,"Stars (High Sentiment, High Volume)"
Bua Thai Ramen & Robata Grill,448,"Thai, Sushi",“The wings and crispy duck fried rice were by far our favorite!”,Beef,Yes,64,12,0.3625,1.0,Positive,0.3625,Long,"Stars (High Sentiment, High Volume)"
Famous Amadeus Pizza,297,"Quick Bites, Italian",“Delicious”,Bolognese,Yes,11,1,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Bagels & Schmear,264,"American, Cafe",“... the breakfast sandwich’s and of cou...”,Soup,Yes,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Piccola Cucina Osteria,2710,"Italian, Sicilian","“Buratta, Arancini, bucatini, lasagna, everything was delicious.”",Nachos,Yes,65,7,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Loi Estiatorio,636,"Mediterranean, Greek",“The fish is fresh and moist and the lamb is superb.”,Steak,Yes,53,11,0.65,0.75,Positive,0.65,Long,"Stars (High Sentiment, High Volume)"
La Grande Boucherie,1162,"French, Steakhouse","“Highly recommend the branzino, ravioli, and mussels.”",Chicken Piccata,Yes,54,7,0.16,0.54,Positive,0.16,Long,"Popular but Declining (Low Sentiment, High Volume)"
K Rico Steakhouse,3486,"American, Steakhouse",“We adults devoured the ceviche and octopus enjoying g every bite!!!!….mmmmmmm...”,French Toast,Yes,82,11,0.5,0.6,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,Ribeye,Yes,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Jungsik,289,"Asian, Korean","“... Korean cuisine, for example Sea Urchin Bibimbab or Black Cod with Clam Foam.”",No,Yes,82,14,-0.16666666666666666,0.43333333333333335,Negative,0.16666666666666666,Long,"Popular but Declining (Low Sentiment, High Volume)"
Pure Thai Cookhouse,1516,"Asian, Thai","“Chicken satay buns to start followed by prawn pad, Thai, and a fantastic beef...”",No,Yes,82,14,-0.09999999999999998,0.925,Neutral,0.09999999999999998,Long,"Popular but Declining (Low Sentiment, High Volume)"
Spice Symphony,224,"Indian, Asian",“Excellent food”,No,Yes,16,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Scalini Fedeli,446,Italian,“The others had the Bolognese followed by the pork chop dinner.”,No,Yes,64,11,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Kuu Ramen,223,"Japanese, Asian",“Soup is slightly salty but pork and the noodles inside is amazing.”,No,Yes,68,12,0.21666666666666673,0.5333333333333333,Positive,0.21666666666666673,Long,"Popular but Declining (Low Sentiment, High Volume)"
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,No,Yes,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Bill's Bar & Burger,1408,"American, Bar",“We started with the loaded nachos.”,No,Yes,36,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",No,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Patsy's Italian Restaurant,5149,"Italian, Neapolitan",“I had chicken piccata”,No,No,23,4,-0.6,0.95,Negative,0.6,Short,"Popular but Declining (Low Sentiment, High Volume)"
Bill's Bar & Burger,3896,"American, Bar",“Casual Dinner”,No,No,15,2,-0.5,0.8666666666666667,Negative,0.5,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
"Jams, 6th Avenue, New York, NY, USA",619,American,“Best brunch - fluffiest french toast!”,No,No,39,6,0.5,0.15,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Benjamin Steakhouse,2490,"Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Benjamin Steakhouse,2490,"Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Ribeye,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
IL Punto Ristorante,1585,Italian,"“We were given a complimentary pistachio tiramisu that was light, fluffy, crun...”",Tiramisu,Yes,82,12,0.16666666666666666,0.5333333333333333,Positive,0.16666666666666666,Long,"Popular but Declining (Low Sentiment, High Volume)"
San Carlo Osteria Piemonte,748,"Italian, Mediterranean",“Was very pleased with the duck entree.”,Duck,Yes,40,7,0.65,1.0,Positive,0.65,Medium,"Stars (High Sentiment, High Volume)"
B Side Pizzeria,527,"Italian, Pizza","“... pizza, kale salad, rich chocolate p...”",Kale Salad,Yes,44,7,0.375,0.75,Positive,0.375,Long,"Stars (High Sentiment, High Volume)"
Dos Caminos,938,"Mexican, Latin",“Taco salad”,Salad,Yes,12,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
NY Pizza Suprema,1337,"Italian, Pizza",“What a NYC Pizzeria Should Be”,Steak,Yes,31,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Balzem,100,"Wine Bar, Mediterranean",“Amazing!!!”,Lobster,Yes,12,1,1.0,0.9,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Buenos Aires,472,"Steakhouse, Latin",“Best Steak and Vibe in the City”,Risotto,Yes,33,7,1.0,0.3,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Daniel,3371,French,"“... stand out dishes were the Maine Lobster Salad “ Chaud-Froid” , the Maine ...”",Steak Tartare,Yes,82,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Craft,1028,American,“Best risotto we had ever had in our lives thus far.”,Band,Yes,53,11,0.55,0.65,Positive,0.55,Long,"Stars (High Sentiment, High Volume)"
Song E Napule Pizzeria & Trattoria,408,"Italian, Pizza",“Loved it small cozy and delicious”,Rice,Yes,35,6,0.3125,0.7375,Positive,0.3125,Medium,"Stars (High Sentiment, High Volume)"
Johny's Luncheonette,438,"American, Diner",“Great authentic American breakfast kitchen”,Fries,Yes,44,5,0.43333333333333335,0.5,Positive,0.43333333333333335,Long,"Stars (High Sentiment, High Volume)"
Brickyard craft kitchen & beer,2131,American,"“Our favorites were the flatbread, steak tartare and chicken.”",Duck,Yes,62,9,-0.6,0.95,Negative,0.6,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Modern,502,"Contemporary, American",“... we enjoyed the performance of Hamilton Leithauser and his back up band.”,Ramen,Yes,77,13,0.25,0.35,Positive,0.25,Long,"Popular but Declining (Low Sentiment, High Volume)"
Bemelmans Bar,1049,"American, Bar",“... the sushi is fresh and delicious and the fried rice was also excellent.”,Croquettes,Yes,77,14,0.7666666666666666,0.8333333333333334,Positive,0.7666666666666666,Long,"Stars (High Sentiment, High Volume)"
Blue Ribbon Sushi,427,"Japanese, Sushi",“The food was also tasty - get the fries.”,Coq Au Vin,Yes,42,9,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
City Vineyard at Pier 26,412,"American, Bar",“... and the Duck Ramen is my favorite..”,Dumplings,Yes,41,8,0.5,1.0,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Obao Noodles & Bbq,111,Vietnamese,“Best cocktails”,Filet Mignon,Yes,16,2,1.0,0.3,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Katherine,1096,Italian,“The sushi and Ramen are particularly fabulous.”,Salmon,Yes,48,7,0.4,1.0,Positive,0.4,Long,"Stars (High Sentiment, High Volume)"
Izakaya MEW,242,"Japanese, Sushi",“... the various dishes: blistered peppers; patatas bravas; croquettes; ribs.”,Bar,Yes,78,10,0.0,0.5,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Tomino - Taberna Gallega,271,"Spanish, Wine Bar",“Awesome first visit!!!!!”,Lobster,Yes,26,3,0.8814697265625,0.6666666666666666,Positive,0.8814697265625,Short,"Stars (High Sentiment, High Volume)"
Norma - Gastronomia Siciliana,459,"Italian, Pizza","“My coq au vin had a tasty, moist chicken served with a delicate sauce with ve...”",Gyoza,No,82,16,-0.44999999999999996,0.925,Negative,0.44999999999999996,Long,"Popular but Declining (Low Sentiment, High Volume)"
Amelie,298,"French, European","“Enjoyed the dumplings, bulgogi, chicken, pork belly, and spare ribs.”",Salad,No,70,10,-0.04999999999999999,0.825,Neutral,0.04999999999999999,Long,"Popular but Declining (Low Sentiment, High Volume)"
Her Name Is Han,5,"Asian, Korean",“Great food ; good price”,Bagels,No,25,5,0.75,0.675,Positive,0.75,Short,"Hidden Gems (High Sentiment, Low Volume)"
KOBA Korean Bbq,5663,"Asian, Korean",“The filet mignon was just out of this world and cooked to absolute perfection.”,Mexican Food,No,80,14,0.2,0.9,Positive,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Gallaghers Steakhouse,715,"American, Steakhouse",“My son got the Salmon and he said it was delicious.”,Sliders,No,53,11,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Ocean Prime,1233,"American, Steakhouse",“we ordered and waited in bar area.”,No,No,36,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Dinosaur Bar-B-Que,991,"American, Bar","“Lunch in Chelsea, NYC”",No,No,23,4,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Cull & Pistol,362,"American, Seafood",“Especially the lobster and Caviar and t...”,No,No,44,7,0.0,1.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Manhatta,20,American,“We also had pork and ginger gyoza.”,No,No,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
IZAKAYA E.A.K. Hell's Kitchen,205,"Japanese, Asian","“... comes with a salad, an appetizer an...”",No,No,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Thai Villa,345,Thai,“Most delicious dishes and very good...”,No,No,40,6,0.8033333333333333,0.7600000000000001,Positive,0.8033333333333333,Medium,"Stars (High Sentiment, High Volume)"
Hummus Place,492,"Lebanese, Mediterranean",“The most perfect NY bagels with an asto...”,No,No,44,8,0.75,0.75,Positive,0.75,Long,"Stars (High Sentiment, High Volume)"
Brooklyn Bagel & Coffee Company,239,"American, Cafe",“Great Place and Irish Breakfast”,No,No,33,5,0.4,0.375,Positive,0.4,Medium,"Stars (High Sentiment, High Volume)"
Megan’s Bar & Kitchen,870,"Irish, Bar",“Delicious Mexican Food Close to Theatre District”,No,No,50,7,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
El Centro,55,"Mexican, Latin",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",Sashimi,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
IL Melograno,331,"Italian, Sicilian",“Octopus and tuna tartare were exceptional.”,Octopus,Yes,44,6,0.6666666666666666,1.0,Positive,0.6666666666666666,Long,"Stars (High Sentiment, High Volume)"
Russ & Daughters Cafe,693,"American, Cafe","“They serve breakfast all day, including eggs, bagels, smoked fish, matzoh bal...”",Bagels,Yes,82,12,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Tony's Di Napoli - Midtown,6522,"Italian, Neapolitan",“... Tony’s and thank god they did!!! Pasta was delicious and the Tony’s chick...”,Pasta,Yes,82,14,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
John's Coffee Shop,266,"American, Cafe","“We had French Toast, Waffles and scramb...”",French Toast,Yes,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Gabriel Kreuther,761,"French, Contemporary","“... and sturgeon tart, and my husband dreams about the hay-smoked duck.”",Duck,Yes,73,12,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
KOBA Korean Bbq,5,"Asian, Korean",“Great food ; good price”,Burger,Yes,25,5,0.75,0.675,Positive,0.75,Short,"Hidden Gems (High Sentiment, Low Volume)"
Little Owl,1257,American,"“Special mention to the kale pesto pasta appetizer and the burger, which were...”",Course Tasting Menu,Yes,81,13,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
The Capital Grille,951,"American, Steakhouse",“Beautiful food and wine”,Bass,Yes,25,4,0.85,1.0,Positive,0.85,Short,"Stars (High Sentiment, High Volume)"
Per Se,1865,French,“We had the 9 course tasting menu and the 2 with Celiac had a slightly modifie...”,Spaghetti,Yes,82,16,-0.16666666666666666,0.16666666666666666,Negative,0.16666666666666666,Long,"Popular but Declining (Low Sentiment, High Volume)"
Le Bernardin,3559,French,“... the 2nd category and the last with the likes of black bass and red snapper.”,Pizza,Yes,81,16,-0.06333333333333332,0.2,Neutral,0.06333333333333332,Long,"Popular but Declining (Low Sentiment, High Volume)"
L'Artusi,536,"Italian, European",“The taste of spaghetti is deep and pleasant.”,Lobster,Yes,46,8,0.3666666666666667,0.6833333333333333,Positive,0.3666666666666667,Long,"Stars (High Sentiment, High Volume)"
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,Truffle,Yes,28,4,0.3,0.925,Positive,0.3,Short,"Popular but Declining (Low Sentiment, High Volume)"
Nerai,685,"Seafood, Mediterranean",“I ordered the Astakomakaronada which includes poached Maine lobster with squi...”,Salad,Yes,82,11,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Beyond Sushi,234,"Healthy, American",“We very much enjoyed The Shiitake Truffle Dumplings and the Cauliflower Wings.”,Italian Restaurant,Yes,80,12,0.5,0.7,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Bareburger - Hell's Kitchen,1530,"American, Bar",“... green goddess dressing on the salad.”,Cannoli,Yes,42,7,-0.2,0.3,Negative,0.2,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Orso,486,Italian,“A superb little Italian restaurant”,With Some Friends,Yes,36,5,0.2708333333333333,0.5,Positive,0.2708333333333333,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Rubirosa,1311,"Italian, Pizza",“... the carbonara followed by the homemade cannoli and they were both delicious.”,Vegetarian,Yes,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Stone Bridge Pizza & Salad,41,"Pizza, Italian","“Good, not typical NY slice”",Lamb,Yes,28,5,0.39166666666666666,0.55,Positive,0.39166666666666666,Short,"Stars (High Sentiment, High Volume)"
Momosan Ramen & Sake,604,"Japanese, Asian",“A wonderful place for a quick bite or even hangout with some friends.”,Cheesecake,Yes,71,13,0.6666666666666666,0.75,Positive,0.6666666666666666,Long,"Stars (High Sentiment, High Volume)"
Via Della Pace,984,"Italian, Pizza",“Good Italian in the Lower East Side”,Chilli Chicken,Yes,37,7,0.35,0.30000000000000004,Positive,0.35,Medium,"Stars (High Sentiment, High Volume)"
Dirt Candy,366,American,“Stunning vegetarian tasting menu”,Octopus,Yes,34,4,0.5,1.0,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Eileen's Special Cheesecake,2115,American,“Special cheesecake”,Pizza,No,20,2,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Short,"Stars (High Sentiment, High Volume)"
Keens Steakhouse,6794,"American, Steakhouse",“... the wonderful taste of the lamb.”,Sashimi,No,38,7,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,Beef,No,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Andrews Coffee Shop,2362,"American, Cafe",“The best cheesecake in newyork by far 😋”,Pizza,No,41,8,0.55,0.65,Positive,0.55,Medium,"Stars (High Sentiment, High Volume)"
Gramercy Tavern,3742,American,“A Must Visit”,Spaghetti,No,14,3,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Obao,1215,"Asian, Thai",“... really good and cashew chilli chicken for main can't fault it would defin...”,No,No,82,14,0.08888888888888886,0.6277777777777778,Neutral,0.08888888888888886,Long,"Popular but Declining (Low Sentiment, High Volume)"
Pylos,406,"Mediterranean, Greek",“The octopus is always cooked perfectly...”,No,No,43,6,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Mermaid Oyster Bar,277,"American, Bar",“Happy Hour Fanatics!”,No,No,22,3,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,No,No,43,8,0.5,0.65,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Black Iron Burger,1023,"American, Bar",“Organic range fed beef and truffle sauc...”,No,No,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
San Matteo Pizza Espresso Bar,383,"Italian, Pizza",“Delicious Pizza”,No,No,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Indian Accent,569,Indian,“1st class”,No,No,11,2,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Rafele,1252,"Italian, Neapolitan","“... and chicken in breadcrumbs with spaghetti and a green salad, and we share...”",No,No,82,14,-0.4,0.625,Negative,0.4,Long,"Popular but Declining (Low Sentiment, High Volume)"
Katherine,111,Italian,“Best cocktails”,No,No,16,2,1.0,0.3,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Emporio,587,Italian,“Welcome G-F-option restaurant near the...”,Paccheri,Yes,43,5,0.45,0.65,Positive,0.45,Long,"Stars (High Sentiment, High Volume)"
Aurora SoHo,400,"Italian, Mediterranean",“... my collègue Paccheri squid ink and ...”,French Toast,Yes,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
BG - Bergdorf Goodman,530,American,“Lovely Civilized Lunch”,Thai,Yes,24,3,0.45,0.825,Positive,0.45,Short,"Stars (High Sentiment, High Volume)"
Westway Diner,2397,American,“French toast and pancakes both deliciou...”,Great Atmosphere,Yes,44,6,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dos Caminos,893,"Mexican, Latin",“The best guacamole”,Oysters,Yes,20,3,1.0,0.3,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,Ramen,Yes,19,2,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Bengal Tiger Indian Food,550,Indian,“Great Indian food”,Gyoza,Yes,19,3,0.8,0.75,Positive,0.8,Short,"Stars (High Sentiment, High Volume)"
Up Thai,367,"Asian, Thai","“If you’re looking for some delicious Thai food, I highly suggest that you che...”",Clam Chowder,Yes,82,14,0.58,0.77,Positive,0.58,Long,"Stars (High Sentiment, High Volume)"
Tanner Smith's,469,"American, Bar",“Great atmosphere”,Red Curry,Yes,18,2,0.8,0.75,Positive,0.8,Short,"Stars (High Sentiment, High Volume)"
Flex Mussels,344,Seafood,“We started with a dozen oysters then moved on to the mussels.”,Vegan,Yes,63,12,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
IPPUDO WESTSIDE (Midtown),1335,"Japanese, Asian",“Excellent ramen and buns!”,Clams,Yes,27,4,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
IZAKAYA E.A.K. Hell's Kitchen,20,"Japanese, Asian",“We also had pork and ginger gyoza.”,Tuna,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Pearl Oyster Bar,534,"American, Seafood","“Oysters, Clam Chowder, Prawns, Muscles and of course the Lobster Rolls!!”",Fried Oysters,Yes,74,11,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
VIV Thai Restaurant and Bar,290,"Asian, Thai",“Red curry was perfectly spiced and quit...”,Scallops,Yes,44,7,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
54 Below,366,"Asian, Korean",“You will certainly have a laugh!”,Filet Mignon,Yes,34,6,0.29464285714285715,0.3357142857142857,Positive,0.29464285714285715,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Hangawi,645,Italian,“Fantastic Vegan Eats in NYC”,Crab Cakes,Yes,29,5,0.4,0.9,Positive,0.4,Medium,"Stars (High Sentiment, High Volume)"
Trattoria Trecolori,2812,American,"“As starters, we had drinks and shared a caprese salad and a platter of clams.”",Fresh Pasta,Yes,79,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Brickyard craft kitchen & beer,432,"French, Swiss",“Decent French Cuisine”,Lasagna,No,23,3,0.08333333333333333,0.3333333333333333,Neutral,0.08333333333333333,Short,"Popular but Declining (Low Sentiment, High Volume)"
Raclette,1186,"American, Deli",“We got one of the more modern bagels that was tuna and wasabi roe and the cla...”,Steak,No,82,17,0.35,0.4,Positive,0.35,Long,"Stars (High Sentiment, High Volume)"
Russ & Daughters,387,"Seafood, American",“... soup and fried oysters stole the sh...”,Neapolitan,No,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Blue Ribbon Brasserie,2280,"Seafood, Healthy","“We ordered the scallops with yuzu, toro...”",Bar,No,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Lobster Place,1366,"American, Steakhouse",“I had the filet mignon with the mashed potatoes and the cheesecake for dessert.”,Bar,No,81,14,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Capital Grille,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Anniversary Dinner,No,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse Prime,1013,Italian,“Cozy and lovely restaurant with fresh pasta and bread.”,No,No,56,9,0.20000000000000004,0.6666666666666666,Positive,0.20000000000000004,Long,"Popular but Declining (Low Sentiment, High Volume)"
Il Corso,708,"American, Contemporary",“If I could give it 6 stars …”,No,No,30,8,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Blue Hill,706,"American, Mediterranean",“Special Spot”,No,No,14,2,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Very Short,"Stars (High Sentiment, High Volume)"
Gato,457,American,“They know what they are doing”,No,No,31,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Market Table,376,"Italian, Pizza","“... a terrific meal, a ""flight"" of lasagna, four flavors served in individual...”",No,No,82,13,0.0,0.7,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
La Lanterna di Vittorio,591,"American, Steakhouse","“Superb Steak, really delicious”",No,No,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Royal 35 Steakhouse,1174,"Italian, Pizza",“Gluten free Neapolitan pizza”,No,No,30,4,0.4,0.8,Positive,0.4,Medium,"Stars (High Sentiment, High Volume)"
Keste Pizza & Vino,1015,"American, Bar",“... to wait at the bar and the bar staf...”,No,No,44,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Jacob's Pickles,480,"Japanese, Asian",“Make a res and GO!”,No,No,20,5,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
